contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
sugar,Sugar #11,Softs,A,Current,long,56,0.4107142857142857,0.007697463756552094,-0.047597750780119095,,,3m
sugar,Sugar #11,Softs,A,Current,short,44,0.4318181818181818,-0.01818262406097829,-0.12540747477324138,,,3m
sugar,Sugar #11,Softs,B,Hybrid,long,27,0.5925925925925926,0.0299471395501453,-0.06939548536517287,14.433862433862432,1.4157289002654965,
sugar,Sugar #11,Softs,B,Hybrid,short,21,0.47619047619047616,-0.026331621525766583,-0.1760127000823315,23.081632653061224,0.7858385492737489,
sugar,Sugar #11,Softs,C,Shapiro,long,14,0.5,0.03050877571037986,-0.07089800586851622,15.122448979591837,1.860638471749399,
sugar,Sugar #11,Softs,C,Shapiro,short,14,0.6428571428571429,0.0008297661721066718,-0.25196695371603484,24.53061224489796,0.560678240732308,
oj,Orange Juice,Softs,A,Current,long,40,0.575,0.020119485873289204,-0.11220201762047675,,,3m
oj,Orange Juice,Softs,A,Current,short,35,0.5142857142857142,0.0030317042180325634,-0.12918651704431228,,,3m
oj,Orange Juice,Softs,B,Hybrid,long,13,0.6153846153846154,0.039625050928568065,-0.10028694819875512,16.989010989010993,1.2670646845420948,
oj,Orange Juice,Softs,B,Hybrid,short,16,0.6875,0.027674305859240092,-0.13628753088825007,10.125,0.7499028913770345,
oj,Orange Juice,Softs,C,Shapiro,long,6,0.6666666666666666,0.07444384603515881,-0.07485217646861297,16.857142857142858,1.9918172633171454,
oj,Orange Juice,Softs,C,Shapiro,short,8,0.875,0.06389720093232151,-0.08147544018390707,9.053571428571429,1.0391440770455096,
coffee,Coffee C,Softs,A,Current,long,43,0.4418604651162791,0.011415813142937116,-0.07071242052624441,,,3m
coffee,Coffee C,Softs,A,Current,short,39,0.38461538461538464,-0.042257077607126346,-0.1366926710474771,,,3m
coffee,Coffee C,Softs,B,Hybrid,long,9,0.5555555555555556,0.026813316975144046,-0.11015070230545418,17.984126984126984,1.2381630760866194,
coffee,Coffee C,Softs,B,Hybrid,short,14,0.7142857142857143,0.05291882090812827,-0.06219094457205748,10.76530612244898,1.591272295045133,
coffee,Coffee C,Softs,C,Shapiro,long,3,0.6666666666666666,0.11242408747533132,-0.01362491171075153,13.19047619047619,12.877043961314245,
coffee,Coffee C,Softs,C,Shapiro,short,8,0.875,0.11364773219747995,-0.0037174721189590088,10.142857142857142,35.0814170984262,
cotton,Cotton #2,Softs,A,Current,long,41,0.4878048780487805,-0.011990202123873703,-0.06524197005302385,,,3m
cotton,Cotton #2,Softs,A,Current,short,28,0.32142857142857145,-0.049171555703168814,-0.09166967177494577,,,3m
cotton,Cotton #2,Softs,B,Hybrid,long,20,0.65,0.021483564843932285,-0.05199326891772523,13.07142857142857,1.1741522520755563,
cotton,Cotton #2,Softs,B,Hybrid,short,18,0.4444444444444444,-0.0731743118856433,-0.16805652586494224,19.722222222222218,0.27031652210274015,
cotton,Cotton #2,Softs,C,Shapiro,long,9,0.8888888888888888,0.03939898268179645,-0.04895215753100013,8.730158730158731,1.030452542902769,
cotton,Cotton #2,Softs,C,Shapiro,short,11,0.45454545454545453,-0.07331968786078423,-0.16601814250633226,21.025974025974026,0.2283994817760783,
lumber,Lumber,Softs,A,Current,long,34,0.4411764705882353,0.010653260806960425,-0.08842037268963795,,,3m
lumber,Lumber,Softs,A,Current,short,26,0.34615384615384615,-0.026665318342112068,-0.09356335220852154,,,3m
lumber,Lumber,Softs,B,Hybrid,long,4,0.75,0.015011181929932865,-0.158553564449866,8.785714285714286,0.459567702830836,
lumber,Lumber,Softs,B,Hybrid,short,14,0.5714285714285714,0.0389906236659067,-0.08863039745902072,12.367346938775512,1.5198666977871254,
lumber,Lumber,Softs,C,Shapiro,long,2,1.0,0.02390756143565531,0.0,6.7857142857142865,,
lumber,Lumber,Softs,C,Shapiro,short,9,0.6666666666666666,0.07307733023619803,-0.04246741341789351,13.285714285714285,3.081178991892892,
corn,Corn,Grains,A,Current,long,35,0.5142857142857142,0.009626443990195181,-0.07518088585899205,,,3m
corn,Corn,Grains,A,Current,short,28,0.39285714285714285,-0.05297370014284851,-0.151070934236338,,,3m
corn,Corn,Grains,B,Hybrid,long,2,1.0,0.11208306511217603,0.0,5.857142857142857,,
oats,Oats,Grains,A,Current,long,44,0.5454545454545454,0.011965259746777113,-0.11727467602238331,,,3m
oats,Oats,Grains,A,Current,short,25,0.68,0.029931947861138956,-0.0881541797943973,,,3m
oats,Oats,Grains,B,Hybrid,long,9,0.3333333333333333,-0.13652937216480932,-0.23847838359370796,23.333333333333332,0.28249374084890994,
oats,Oats,Grains,B,Hybrid,short,3,0.6666666666666666,0.06911058027113474,-0.06763285024154597,13.714285714285715,2.0327739410133794,
oats,Oats,Grains,C,Shapiro,long,3,0.0,-0.07318695275456877,-0.07318695275456877,21.71428571428571,,
oats,Oats,Grains,C,Shapiro,short,2,1.0,0.12914079053880217,0.0,9.714285714285714,,
wheat,Wheat (SRW),Grains,A,Current,long,60,0.5166666666666667,0.025178322040663736,-0.0642561248694898,,,3m
wheat,Wheat (SRW),Grains,A,Current,short,32,0.40625,-0.02409896405364482,-0.10312787816517946,,,3m
wheat,Wheat (SRW),Grains,B,Hybrid,long,4,0.5,0.05581504683385147,-0.023091941482623946,4.357142857142857,5.83415800060387,
wheat,Wheat (SRW),Grains,B,Hybrid,short,9,0.7777777777777778,0.07740989844970281,-0.07200623862467836,11.238095238095237,1.6679141366361558,
wheat,Wheat (SRW),Grains,C,Shapiro,long,3,0.3333333333333333,0.03674851471740359,-0.021169787823011932,4.3809523809523805,7.207682999655383,
wheat,Wheat (SRW),Grains,C,Shapiro,short,3,1.0,0.10304921372323117,0.0,13.476190476190476,,
soybeans,Soybeans,Grains,A,Current,long,38,0.5263157894736842,0.0016617857584966052,-0.07793605832175031,,,3m
soybeans,Soybeans,Grains,A,Current,short,37,0.3783783783783784,-0.047501963744415926,-0.11472421317094122,,,3m
soybeans,Soybeans,Grains,B,Hybrid,long,6,0.3333333333333333,-0.03034453589494618,-0.07928040019159946,30.30952380952381,0.8517514106281663,
soybeans,Soybeans,Grains,B,Hybrid,short,5,0.8,0.05632451148977409,-0.022602144305998273,6.971428571428572,3.364998223577088,
soybeans,Soybeans,Grains,C,Shapiro,long,3,0.3333333333333333,-0.03444786804398751,-0.07876013940251719,39.095238095238095,0.687869207495846,
soybeans,Soybeans,Grains,C,Shapiro,short,3,1.0,0.09959792301706956,0.0,5.476190476190477,,
soybean_meal,Soybean Meal,Grains,A,Current,long,35,0.5714285714285714,0.025632502216609163,-0.051847122898616406,,,3m
soybean_meal,Soybean Meal,Grains,A,Current,short,38,0.5263157894736842,-0.006178462355949981,-0.11324998946136586,,,3m
soybean_meal,Soybean Meal,Grains,B,Hybrid,long,13,1.0,0.07808268824114514,0.0,10.857142857142858,,
soybean_meal,Soybean Meal,Grains,B,Hybrid,short,17,0.5882352941176471,-0.03259502130030395,-0.1663783912299726,13.142857142857144,0.3669547301132068,
soybean_meal,Soybean Meal,Grains,C,Shapiro,long,6,1.0,0.12192453741997977,0.0,11.428571428571429,,
soybean_meal,Soybean Meal,Grains,C,Shapiro,short,8,0.625,-0.02855769021959012,-0.21422555311110317,11.05357142857143,0.3867093645563052,
soybean_oil,Soybean Oil,Grains,A,Current,long,46,0.6086956521739131,0.02437189546365479,-0.07217618857807144,,,3m
soybean_oil,Soybean Oil,Grains,A,Current,short,35,0.34285714285714286,-0.03571273823959679,-0.09317234734638459,,,3m
soybean_oil,Soybean Oil,Grains,B,Hybrid,long,21,0.8095238095238095,0.08793608032493554,-0.06996785601032854,9.272108843537417,1.7878202196087483,
soybean_oil,Soybean Oil,Grains,B,Hybrid,short,20,0.5,-0.18880226289763485,-0.4325882726535256,14.392857142857142,0.1271041087660142,
soybean_oil,Soybean Oil,Grains,C,Shapiro,long,11,0.9090909090909091,0.14811630132228787,-0.04555578108534197,10.324675324675324,3.6764490822645635,
soybean_oil,Soybean Oil,Grains,C,Shapiro,short,12,0.5,-0.16223057953206219,-0.37004554175339016,13.976190476190476,0.1231858718612657,
cattle,Live Cattle,Livestock,A,Current,long,30,0.6333333333333333,0.014591138182331516,-0.05502908476661126,,,3m
cattle,Live Cattle,Livestock,A,Current,short,41,0.3170731707317073,-0.01779787195803172,-0.05165501291290432,,,3m
hogs,Lean Hogs,Livestock,A,Current,long,29,0.6206896551724138,0.06987131158685007,-0.1256647871834851,,,3m
hogs,Lean Hogs,Livestock,A,Current,short,39,0.358974358974359,-0.05832693967955906,-0.1341499953432016,,,3m
hogs,Lean Hogs,Livestock,B,Hybrid,short,4,0.25,-0.18979259529033865,-0.27085006686855456,15.107142857142858,0.1970825411323038,
bitcoin,Bitcoin,Crypto,A,Current,long,37,0.7567567567567568,0.25385369937140617,-0.14210612720913104,,,3m
bitcoin,Bitcoin,Crypto,A,Current,short,12,0.5833333333333334,0.051031001815637377,-0.19012127485598648,,,3m
